index,시·도,시·군,기업명,업종,생산품,매출액,기업규모,외투기업,회계기준,출처URL,홈페이지URL,비고
1,경상북도,구미시,LG디스플레이,전자부품 제조업,OLED 패널(중소형·차량용),"25조 8,100억 8,200만원",대기업,아니오,2025.12.IFRS 연결,https://search.naver.com/search.naver?query=LG%EB%94%94%EC%8A%A4%ED%94%8C%EB%A0%88%EC%9D%B4%20%EA%B8%B0%EB%B3%B8%EC%A0%95%EB%B3%B4,https://www.lgdisplay.com/,LG 계열사
2,경상북도,구미시,LG이노텍,전자부품 제조업,"카메라 모듈, 반도체 기판","21조 8,966억 300만원",대기업,아니오,2025.12.IFRS 연결,https://search.naver.com/search.naver?query=LG%EC%9D%B4%EB%85%B8%ED%85%8D%20%EA%B8%B0%EB%B3%B8%EC%A0%95%EB%B3%B4,https://www.lginnotek.com/,LG 계열사
3,경상북도,구미시,LGHY BCM,이차전지 소재 제조업,하이니켈 양극재,"4,127억 8,000만원",대기업,예,2025.12 개별,https://search.naver.com/search.naver?query=LGHY%20BCM%20%EA%B8%B0%EB%B3%B8%EC%A0%95%EB%B3%B4,미등록,LG 계열 합작사
4,경상북도,구미시,LG전자(퓨처파크),연구개발·전자·로봇 제조업,로봇 R&D·시험 인프라,"89조 2,025억",대기업,아니오,2025 IFRS 연결,https://search.naver.com/search.naver?query=LG%ED%93%A8%EC%B2%98%ED%8C%8C%ED%81%AC%20%EA%B8%B0%EB%B3%B8%EC%A0%95%EB%B3%B4 | https://www.lge.co.kr/company/investor,https://www.lge.co.kr/company/info/domestic,연구개발·전자·로봇 제조 기업
5,경상북도,구미시,SK실트론,반도체 소재 제조업,반도체용 실리콘 웨이퍼,"2조 574억 8,593만원",대기업,아니오,2025.12.IFRS 연결,https://search.naver.com/search.naver?query=SK%EC%8B%A4%ED%8A%B8%EB%A1%A0%20%EA%B8%B0%EB%B3%B8%EC%A0%95%EB%B3%B4,https://www.sksiltron.com/,SK 계열사 (두산 매각)
6,경상북도,구미시,한화시스템,방위산업,전투체계·통신·레이더,"3조 6,641억 5,056만원",대기업,아니오,2025.12.IFRS 연결,https://search.naver.com/search.naver?query=%ED%95%9C%ED%99%94%EC%8B%9C%EC%8A%A4%ED%85%9C%20%EA%B8%B0%EB%B3%B8%EC%A0%95%EB%B3%B4,https://www.hanwhasystems.com/,한화 계열사
7,경상북도,구미시,도레이첨단소재,화학·첨단소재 제조업,탄소섬유·IT필름·멤브레인,"2조 5,254억 3,213만원",대기업,예,2026.03.IFRS 연결,https://search.naver.com/search.naver?query=%EB%8F%84%EB%A0%88%EC%9D%B4%EC%B2%A8%EB%8B%A8%EC%86%8C%EC%9E%AC%20%EA%B8%B0%EB%B3%B8%EC%A0%95%EB%B3%B4,https://www.torayamk.com/,도레이 계열사
8,경상북도,구미시,도레이배터리세퍼레이터필름한국,이차전지 소재 제조업,리튬이온 배터리 분리막,"2,299억 5,453만원",중소기업,예,2025.03 개별(NICE평가정보),https://search.naver.com/search.naver?query=%EB%8F%84%EB%A0%88%EC%9D%B4%EB%B0%B0%ED%84%B0%EB%A6%AC%EC%84%B8%ED%8D%BC%EB%A0%88%EC%9D%B4%ED%84%B0%ED%95%84%EB%A6%84%ED%95%9C%EA%B5%AD%20%EA%B8%B0%EB%B3%B8%EC%A0%95%EB%B3%B4 | https://www.catch.co.kr/Comp/CompInfo/C79897?Tab=1,https://www.toray-bsf.com/kr/,도레이 계열사
9,경상북도,구미시,GS구미열병합발전,전기·증기 공급업,전력·집단에너지,"1,662억",대기업,아니오,2025.12 개별,https://search.naver.com/search.naver?query=GS%EA%B5%AC%EB%AF%B8%EC%97%B4%EB%B3%91%ED%95%A9%EB%B0%9C%EC%A0%84%20%EA%B8%B0%EB%B3%B8%EC%A0%95%EB%B3%B4,https://www.gsgchp.com/,GS 계열사
10,경상북도,구미시,삼성전자(스마트시티),전자제품 제조업,스마트폰·네트워크 장비,"333조 6,059억 3,800만원",대기업,아니오,2025.12 IFRS 연결,https://search.naver.com/search.naver?query=%EC%82%BC%EC%84%B1%EC%A0%84%EC%9E%90%20%EA%B8%B0%EB%B3%B8%EC%A0%95%EB%B3%B4,https://www.samsung.com/sec/,삼성 계열사
11,경상북도,구미시,삼성SDS,정보통신 서비스업,데이터센터·IT 인프라,"13조 9,298억 6,849만원",대기업,아니오,2025.12.IFRS 연결,https://search.naver.com/search.naver?query=%EC%82%BC%EC%84%B1SDS%20%EA%B8%B0%EB%B3%B8%EC%A0%95%EB%B3%B4,https://www.samsungsds.com/kr/index.html,삼성 계열사
12,경상북도,구미시,삼성SDI,전기·전자부품 제조업,전자재료·배터리 소재,"13조 2,667억 3,067만원",대기업,아니오,2025.12.IFRS 연결,https://search.naver.com/search.naver?query=%EC%82%BC%EC%84%B1SDI%20%EA%B8%B0%EB%B3%B8%EC%A0%95%EB%B3%B4,https://www.samsungsdi.co.kr/,삼성 계열사
13,경상북도,구미시,코오롱인더스트리,화학·스페셜티 소재 제조업,아라미드·타이어코드·CPI,"4조 8,733억 9,949만원",대기업,아니오,2025.12.IFRS 연결,https://search.naver.com/search.naver?query=%EC%BD%94%EC%98%A4%EB%A1%B1%EC%9D%B8%EB%8D%94%EC%8A%A4%ED%8A%B8%EB%A6%AC%20%EA%B8%B0%EB%B3%B8%EC%A0%95%EB%B3%B4,https://www.kolonindustries.com/,코오롱 계열사
14,경상북도,구미시,LG유니참,위생용품 제조업,기저귀·생리대,"1,021억 884만원",대기업,예,2025.12.GAAP 개별,https://search.naver.com/search.naver?query=LG%EC%9C%A0%EB%8B%88%EC%B0%B8%20%EA%B8%B0%EB%B3%B8%EC%A0%95%EB%B3%B4,https://www.lgunicharm.co.kr/,유니참 합작사
15,경상북도,구미시,LIG 디펜스&에어로스페이스,방산부품 제조업,유도무기·방산 정밀부품,"4조 3,069억",중견기업,아니오,2025 연결,https://search.naver.com/search.naver?query=LIG%20D%26A%20%EA%B8%B0%EB%B3%B8%EC%A0%95%EB%B3%B4,https://www.ligdefenseaerospace.com/,LIG 계열사
16,경상북도,구미시,코리아디펜스인더스트리,방위산업,탄약·신관·추진장약,"6,028억 9,718만원",중소기업,아니오,2025 개별,https://search.naver.com/search.naver?query=%EC%BD%94%EB%A6%AC%EC%95%84%EB%94%94%ED%8E%9C%EC%8A%A4%EC%9D%B8%EB%8D%94%EC%8A%A4%ED%8A%B8%EB%A6%AC%20%EA%B8%B0%EB%B3%B8%EC%A0%95%EB%B3%B4,https://www.koreadefenseindustry.com/,방위산 기업
17,경상북도,구미시,LS전선,전기선·케이블 제조업,초고압·산업용 특수케이블,"7조 5,881억 6,000만원",대기업,아니오,2025.12.IFRS 연결,https://search.naver.com/search.naver?query=LS%EC%A0%84%EC%84%A0%20%EA%B8%B0%EB%B3%B8%EC%A0%95%EB%B3%B4,https://www.lscns.co.kr/,LS 계열사
18,경상북도,구미시,LS알스코,알루미늄 압출제품 제조업,자동차·전기차용 알루미늄 압출재,"1,254억 8,936만원",중견기업,아니오,2025.12.IFRS 개별,https://search.naver.com/search.naver?query=LS%EC%95%8C%EC%8A%A4%EC%BD%94%20%EA%B8%B0%EB%B3%B8%EC%A0%95%EB%B3%B4,https://alsco.co.kr/,LS 계열사
19,경상북도,구미시,매그나칩반도체,반도체 제조업,전력반도체·MOSFET,"2,769억 6,393만원",중견기업,예,2025 개별,https://search.naver.com/search.naver?query=%EB%A7%A4%EA%B7%B8%EB%82%98%EC%B9%A9%EB%B0%98%EB%8F%84%EC%B2%B4%20%EA%B8%B0%EB%B3%B8%EC%A0%95%EB%B3%B4,https://www.magnachip.com/kr/,반도체 제조 기업
20,경상북도,구미시,DIG에어가스,산업용 가스 제조업,고순도 질소·산소·아르곤,"7,375억 3,421만원",중견기업,예,2025 개별,https://search.naver.com/search.naver?query=DIG%EC%97%90%EC%96%B4%EA%B0%80%EC%8A%A4%20%EA%B8%B0%EB%B3%B8%EC%A0%95%EB%B3%B4,https://www.dig-airgas.com/kr/,산업용 가스 제조 기업
21,경상북도,구미시,티케이케미칼,화학섬유 제조업,폴리에스터·스판덱스·PET 수지,"3,457억 5,622만원",중견기업,아니오,2025.12.IFRS 개별,https://search.naver.com/search.naver?query=%ED%8B%B0%EC%BC%80%EC%9D%B4%EC%BC%80%EB%AF%B8%EC%B9%BC%20%EA%B8%B0%EB%B3%B8%EC%A0%95%EB%B3%B4,https://www.tkchemi.co.kr/,화학섬유 제조 기업
22,경상북도,구미시,효성티앤씨,섬유·화학소재 제조업,스판덱스·원사·타이어코드 원사,"7조 6,948억 4,372만원",대기업,아니오,2025.12.IFRS 연결,https://search.naver.com/search.naver?query=%ED%9A%A8%EC%84%B1%ED%8B%B0%EC%95%A4%EC%94%A8%20%EA%B8%B0%EB%B3%B8%EC%A0%95%EB%B3%B4,https://www.hyosungtnc.com/,효성 계열사
23,경상북도,구미시,원익,반도체·디스플레이 장비·소재 공급업,공정 장비·소재·기술서비스,"1,507억 3,496만원",준대기업,아니오,2025.12.IFRS 연결,https://search.naver.com/search.naver?query=%EC%9B%90%EC%9D%B5%20%EA%B8%B0%EB%B3%B8%EC%A0%95%EB%B3%B4,https://www.wonik.com/,원익 계열사
24,경상북도,구미시,원익큐앤씨,반도체 부품 제조업,쿼츠웨어·세라믹웨어,"9,436억 4,149만원",준대기업,아니오,2025.12.IFRS 연결,https://search.naver.com/search.naver?query=%EC%9B%90%EC%9D%B5%ED%81%90%EC%95%A4%EC%94%A8%20%EA%B8%B0%EB%B3%B8%EC%A0%95%EB%B3%B4,https://www.wonikqnc.com/,원익 계열사
25,경상북도,구미시,인탑스,전자부품 제조업,스마트폰 케이스·가전 외장재,"1,150억 7천만원",중견기업,아니오,2025.12 개별(NICE평가정보),https://search.naver.com/search.naver?query=%EC%9D%B8%ED%83%91%EC%8A%A4%20%EA%B8%B0%EB%B3%B8%EC%A0%95%EB%B3%B4 | https://www.jobkorea.co.kr/company/1455824,https://intops.co.kr/,전자부품 제조 기업
26,경상북도,구미시,에어프로덕츠코리아,산업용 가스 제조업,고순도 질소·수소,"7,944억 4,636만원",대기업,예,2025.09.GAAP 개별,https://search.naver.com/search.naver?query=%EC%97%90%EC%96%B4%ED%94%84%EB%A1%9C%EB%8D%95%EC%B8%A0%EC%BD%94%EB%A6%AC%EC%95%84%20%EA%B8%B0%EB%B3%B8%EC%A0%95%EB%B3%B4,https://www.airproducts.co.kr/,산업용 가스 제조 기업
